year,reporting_org_ref,value_usd,category
2021,41119,970734718.929999,> 100M & <= 1B
2021,44000,8999694121,> 1B
2020,44000,8133457707,> 1B
2019,44000,8353482329,> 1B
2018,44000,8774823796,> 1B
2017,44000,9719226562,> 1B
2016,44000,10197246361,> 1B
2015,44000,9620692120,> 1B
2014,44000,11421000017,> 1B
2013,44000,13788715262,> 1B
2012,44000,10703690882,> 1B
2011,44000,6764565343,> 1B
2010,44000,6280340375,> 1B
2009,44000,4884632096,> 1B
2008,44000,2682762372,> 1B
2007,44000,692181475,> 100M & <= 1B
2006,44000,371997083,> 100M & <= 1B
2005,44000,208206005,> 100M & <= 1B
2004,44000,105975283,> 100M & <= 1B
2003,44000,24809625,> 10M & <= 100M
2002,44000,17092912,> 10M & <= 100M
2001,44000,2758237,> 1M & <= 10M
1993,44000,56318,<=1M
1992,44000,11147746,> 10M & <= 100M
1991,44000,1e+07,> 1M & <= 10M
2022,47045,135829346.77,> 100M & <= 1B
2021,47045,5135527183.39,> 1B
2020,47045,4248705389.48,> 1B
2019,47045,3595577413.38,> 1B
2018,47045,3299384421.7,> 1B
2017,47045,4415811280.35999,> 1B
2016,47045,3710480700.44,> 1B
2015,47045,3351067549.28,> 1B
2014,47045,2952430120.73,> 1B
2013,47045,4061367287.66,> 1B
2012,47045,3405058520.88,> 1B
2011,47045,2692853483.66,> 1B
2010,47045,3126470670.82,> 1B
2009,47045,2783991473.09,> 1B
2008,47045,2260192678.69,> 1B
2007,47045,1729793232.85,> 1B
2006,47045,1332294033.97,> 1B
2005,47045,1054622570.05,> 1B
2004,47045,635456142.44,> 100M & <= 1B
2003,47045,231200246.85,> 100M & <= 1B
2002,47045,897869,<=1M
2021,47122,7917786229.77001,> 1B
2020,47122,2126687458.19,> 1B
2019,47122,2983404656.89,> 1B
2018,47122,1594135930.9848,> 1B
2017,47122,1296525270.2445,> 1B
2016,47122,1253002998.609,> 1B
2015,47122,1543357581.0097,> 1B
2014,47122,1297331616.5,> 1B
2013,47122,1370021641.94,> 1B
2012,47122,952435241.79,> 100M & <= 1B
2011,47122,680449329.85,> 100M & <= 1B
2010,47122,584407869.56,> 100M & <= 1B
2009,47122,335323247.3,> 100M & <= 1B
2008,47122,594709131.75,> 100M & <= 1B
2007,47122,387673539.12,> 100M & <= 1B
2006,47122,194048206.54,> 100M & <= 1B
2005,47122,206122588.78,> 100M & <= 1B
2004,47122,136146453.53,> 100M & <= 1B
2003,47122,158385006.41,> 100M & <= 1B
2002,47122,94246388.89,> 10M & <= 100M
2001,47122,114286839.55,> 100M & <= 1B
2000,47122,1987500,> 1M & <= 10M
2019,AF-MOE-1212,690497,<=1M
2018,AF-MOE-1212,1014183,> 1M & <= 10M
2017,AF-MOE-1212,1650158,> 1M & <= 10M
2016,AF-MOE-1212,1760323.03145296,> 1M & <= 10M
2015,AF-MOE-1212,5622,<=1M
2019,AF-MOE-138,4757841.39,> 1M & <= 10M
2018,AF-MOE-138,2641647.59,> 1M & <= 10M
2017,AF-MOE-138,738749.328684817,<=1M
2020,AM-SRALE-222.160.00823,101500.457205389,<=1M
2019,AM-SRALE-222.160.00823,78461.5307715663,<=1M
2021,AR-CENOC-16969-A,2965327.66601279,> 1M & <= 10M
2020,AR-CENOC-16969-A,1897885.55313828,> 1M & <= 10M
2019,AR-CENOC-16969-A,1684099.08457771,> 1M & <= 10M
2018,AR-CENOC-16969-A,1741691.14585899,> 1M & <= 10M
2017,AR-CENOC-16969-A,1526943.22865264,> 1M & <= 10M
2020,AT-UID-U74408937,519082.103148757,<=1M
2019,AT-UID-U74408937,218158.17398352,<=1M
2020,AU-5,2099786217.98636,> 1B
2019,AU-5,2855160545.71659,> 1B
2018,AU-5,2847975339.73429,> 1B
2017,AU-5,2797394298.64237,> 1B
2016,AU-5,2838260292.86341,> 1B
2015,AU-5,3283418307.00028,> 1B
2014,AU-5,3745483337.73596,> 1B
2013,AU-5,3758355484.8731,> 1B
2012,AU-5,3705744984.60695,> 1B
2011,AU-5,2794059450.09937,> 1B
2010,AU-5,1696711061.93428,> 1B
2009,AU-5,864504668.215851,> 100M & <= 1B
2021,AU-ACNC-18055208636,25097071.0013688,> 10M & <= 100M
2020,AU-ACNC-18055208636,25845283.4148453,> 10M & <= 100M
2020,AU-ACNC-19242959685,2319333.71634334,> 1M & <= 10M
2019,AU-ACNC-19242959685,4943170.81267501,> 1M & <= 10M
2018,AU-ACNC-19242959685,7111285.32040871,> 1M & <= 10M
2017,AU-ACNC-19242959685,6134232.24589019,> 1M & <= 10M
2016,AU-ACNC-19242959685,4489901.04260192,> 1M & <= 10M
2021,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,48799,<=1M
2020,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,39331.6624726028,<=1M
2019,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,405227.541798414,<=1M
2018,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142,23756.9472792706,<=1M
2017,BD-NAB-002,2080413.70182479,> 1M & <= 10M
2021,BD-NAB-0203,12371.28,<=1M
2021,BD-NAB-0210,205881.983186174,<=1M
2020,BD-NAB-0210,2417702.68343841,> 1M & <= 10M
2019,BD-NAB-0210,1974724.77035321,> 1M & <= 10M
2018,BD-NAB-0210,1636597.25650496,> 1M & <= 10M
2017,BD-NAB-0210,1791553.43990564,> 1M & <= 10M
2016,BD-NAB-0210,1135044.83636271,> 1M & <= 10M
2018,BD-NAB-0271,189013.021922869,<=1M
2017,BD-NAB-0271,93563.9794573382,<=1M
2019,BD-NAB-051,23390.9704589712,<=1M
2018,BD-NAB-051,98640.6872802655,<=1M
2017,BD-NAB-051,188820.560239564,<=1M
2016,BD-NAB-051,166845.177305773,<=1M
2021,BD-NAB-0918,361495.46081425,<=1M
2020,BD-NAB-0918,441515.687260799,<=1M
2020,BD-NAB-1301,6066639.33030242,> 1M & <= 10M
2019,BD-NAB-1301,26057131.7358765,> 10M & <= 100M
2018,BD-NAB-1301,53422987.6331624,> 10M & <= 100M
2017,BD-NAB-1301,68566907.1525258,> 10M & <= 100M
2016,BD-NAB-1301,78473499.5868116,> 10M & <= 100M
2015,BD-NAB-1301,71171314.0045146,> 10M & <= 100M
2014,BD-NAB-1301,11961239.824175,> 10M & <= 100M
2021,BD-NAB-2004,181751.122163446,<=1M
2020,BD-NAB-2004,54410.8167674096,<=1M
2017,BD-NAB-682,0,<=1M
2021,BD-ROC-C-107131,7047.64296940417,<=1M
2021,BD-ROC-S-12313,11216.0486497584,<=1M
2020,BD-ROC-S-12313,16811.9886585481,<=1M
2019,BD-ROC-S-12313,5467.38878220731,<=1M
2021,BE-BCE_KBO-0406694670,2516375.54147375,> 1M & <= 10M
2020,BE-BCE_KBO-0406694670,4982094.76079677,> 1M & <= 10M
2019,BE-BCE_KBO-0406694670,6375888.60363293,> 1M & <= 10M
2018,BE-BCE_KBO-0406694670,6393457.27913546,> 1M & <= 10M
2017,BE-BCE_KBO-0406694670,6201671.70777762,> 1M & <= 10M
2020,BE-BCE_KBO-0407562029,767408.598012909,<=1M
2019,BE-BCE_KBO-0407562029,909303.642289267,<=1M
2018,BE-BCE_KBO-0407562029,869489.279290488,<=1M
2017,BE-BCE_KBO-0407562029,894539.82112883,<=1M
2020,BE-BCE_KBO-0408022778,1303370.99045535,> 1M & <= 10M
2019,BE-BCE_KBO-0408022778,1155229.02950395,> 1M & <= 10M
2018,BE-BCE_KBO-0408022778,1120135.64893307,> 1M & <= 10M
2017,BE-BCE_KBO-0408022778,1096636.62407497,> 1M & <= 10M
2020,BE-BCE_KBO-0408095925,319827.548619718,<=1M
2019,BE-BCE_KBO-0408095925,258120.323445178,<=1M
2018,BE-BCE_KBO-0408095925,267403.336238073,<=1M
2017,BE-BCE_KBO-0408095925,156495.922412764,<=1M
2020,BE-BCE_KBO-0408256667,848942.603338113,<=1M
2019,BE-BCE_KBO-0408256667,1712745.6537659,> 1M & <= 10M
2018,BE-BCE_KBO-0408256667,6198524.33589501,> 1M & <= 10M
2017,BE-BCE_KBO-0408256667,1062212.24222105,> 1M & <= 10M
2020,BE-BCE_KBO-0408628435,1233567.20324293,> 1M & <= 10M
2019,BE-BCE_KBO-0408628435,1029448.10616416,> 1M & <= 10M
2018,BE-BCE_KBO-0408628435,1127436.49850422,> 1M & <= 10M
2017,BE-BCE_KBO-0408628435,1038277.39671519,> 1M & <= 10M
2020,BE-BCE_KBO-0408643875,7913533.60905868,> 1M & <= 10M
2019,BE-BCE_KBO-0408643875,7072349.18156261,> 1M & <= 10M
2018,BE-BCE_KBO-0408643875,6560623.79890545,> 1M & <= 10M
2017,BE-BCE_KBO-0408643875,5871662.40376781,> 1M & <= 10M
2020,BE-BCE_KBO-0408656248,3010100.14129605,> 1M & <= 10M
2019,BE-BCE_KBO-0408656248,3110846.1169647,> 1M & <= 10M
2018,BE-BCE_KBO-0408656248,3204440.1073332,> 1M & <= 10M
2017,BE-BCE_KBO-0408656248,2861133.70124953,> 1M & <= 10M
2020,BE-BCE_KBO-0408908151,2321540.32907776,> 1M & <= 10M
2019,BE-BCE_KBO-0408908151,2581902.95023897,> 1M & <= 10M
2018,BE-BCE_KBO-0408908151,2525087.83906843,> 1M & <= 10M
2017,BE-BCE_KBO-0408908151,2070694.53838358,> 1M & <= 10M
2020,BE-BCE_KBO-0409451054,445221.41220361,<=1M
2019,BE-BCE_KBO-0409451054,436708.513462613,<=1M
2018,BE-BCE_KBO-0409451054,397114.278533075,<=1M
2017,BE-BCE_KBO-0409451054,582919.444067662,<=1M
2021,BE-BCE_KBO-0409597544,56126.9270757183,<=1M
2020,BE-BCE_KBO-0409597544,209134.430317085,<=1M
2019,BE-BCE_KBO-0409597544,139936.631012414,<=1M
2018,BE-BCE_KBO-0409597544,272487.645518599,<=1M
2017,BE-BCE_KBO-0409597544,191802.680186441,<=1M
2020,BE-BCE_KBO-0410057701,13830357.0709004,> 10M & <= 100M
2019,BE-BCE_KBO-0410057701,14474731.7708995,> 10M & <= 100M
2018,BE-BCE_KBO-0410057701,14480288.0088331,> 10M & <= 100M
2017,BE-BCE_KBO-0410057701,12941036.4306999,> 10M & <= 100M
2020,BE-BCE_KBO-0410644946,2424205.90358564,> 1M & <= 10M
2019,BE-BCE_KBO-0410644946,3294865.51424387,> 1M & <= 10M
2018,BE-BCE_KBO-0410644946,3581706.22657781,> 1M & <= 10M
2017,BE-BCE_KBO-0410644946,3181865.61019209,> 1M & <= 10M
2020,BE-BCE_KBO-0410661673,306955.005905701,<=1M
2019,BE-BCE_KBO-0410661673,316999.629801777,<=1M
2018,BE-BCE_KBO-0410661673,285122.669307032,<=1M
2017,BE-BCE_KBO-0410661673,256730.10999286,<=1M
2020,BE-BCE_KBO-0410757386,2160560.27801439,> 1M & <= 10M
2019,BE-BCE_KBO-0410757386,2244052.28253927,> 1M & <= 10M
2018,BE-BCE_KBO-0410757386,2366557.8170989,> 1M & <= 10M
2017,BE-BCE_KBO-0410757386,1874907.79449395,> 1M & <= 10M
2020,BE-BCE_KBO-0413119733,6992743.01507258,> 1M & <= 10M
2019,BE-BCE_KBO-0413119733,7163630.94293672,> 1M & <= 10M
2018,BE-BCE_KBO-0413119733,7520863.92501468,> 1M & <= 10M
2017,BE-BCE_KBO-0413119733,6931245.52797146,> 1M & <= 10M
2020,BE-BCE_KBO-0413986102,8334215.03153473,> 1M & <= 10M
2019,BE-BCE_KBO-0413986102,8237026.70825884,> 1M & <= 10M
2018,BE-BCE_KBO-0413986102,7769343.37653547,> 1M & <= 10M
2017,BE-BCE_KBO-0413986102,7410699.97426475,> 1M & <= 10M
2020,BE-BCE_KBO-0415365777,1233072.43068055,> 1M & <= 10M
2019,BE-BCE_KBO-0415365777,1078897.69979518,> 1M & <= 10M
2018,BE-BCE_KBO-0415365777,1009753.68522048,> 1M & <= 10M
2017,BE-BCE_KBO-0415365777,943107.812269416,<=1M
2020,BE-BCE_KBO-0415426155,293265.709535101,<=1M
2019,BE-BCE_KBO-0415426155,307967.861189513,<=1M
2018,BE-BCE_KBO-0415426155,246309.53515197,<=1M
2017,BE-BCE_KBO-0415426155,194941.367958941,<=1M
2020,BE-BCE_KBO-0415499795,1183379.9543611,> 1M & <= 10M
2019,BE-BCE_KBO-0415499795,685129.704778149,<=1M
2018,BE-BCE_KBO-0415499795,648799.694226827,<=1M
2017,BE-BCE_KBO-0415499795,596671.369644224,<=1M
2020,BE-BCE_KBO-0415627875,5357685.40518314,> 1M & <= 10M
2019,BE-BCE_KBO-0415627875,6078712.75439772,> 1M & <= 10M
2018,BE-BCE_KBO-0415627875,4385885.33993425,> 1M & <= 10M
2017,BE-BCE_KBO-0415627875,2863251.42374327,> 1M & <= 10M
2020,BE-BCE_KBO-0415880570,18269167.3637527,> 10M & <= 100M
2019,BE-BCE_KBO-0415880570,21901843.1703005,> 10M & <= 100M
2018,BE-BCE_KBO-0415880570,21413037.7747614,> 10M & <= 100M
2017,BE-BCE_KBO-0415880570,17030542.732048,> 10M & <= 100M
2020,BE-BCE_KBO-0416486821,908749.933447369,<=1M
2019,BE-BCE_KBO-0416486821,872372.462808704,<=1M
2018,BE-BCE_KBO-0416486821,885756.941413189,<=1M
2017,BE-BCE_KBO-0416486821,828035.997940831,<=1M
2020,BE-BCE_KBO-0416867297,2133418.9800859,> 1M & <= 10M
2019,BE-BCE_KBO-0416867297,2102446.94607765,> 1M & <= 10M
2018,BE-BCE_KBO-0416867297,2388935.95389518,> 1M & <= 10M
2017,BE-BCE_KBO-0416867297,1542666.9955598,> 1M & <= 10M
2020,BE-BCE_KBO-0416934803,173626.820675161,<=1M
2019,BE-BCE_KBO-0416934803,154294.579552355,<=1M
2018,BE-BCE_KBO-0416934803,159969.463845201,<=1M
2017,BE-BCE_KBO-0416934803,158963.583883268,<=1M
2021,BE-BCE_KBO-0417299047,623804.29891979,<=1M
2020,BE-BCE_KBO-0417299047,6047164.25464358,> 1M & <= 10M
2019,BE-BCE_KBO-0417299047,34037821.5589375,> 10M & <= 100M
2018,BE-BCE_KBO-0417299047,4759704.35930926,> 1M & <= 10M
2017,BE-BCE_KBO-0417299047,3849806.36842173,> 1M & <= 10M
2020,BE-BCE_KBO-0417549465,163996.606039708,<=1M
2019,BE-BCE_KBO-0417549465,170155.635414951,<=1M
2018,BE-BCE_KBO-0417549465,216758.067896975,<=1M
2017,BE-BCE_KBO-0417549465,106049.117492077,<=1M
2021,BE-BCE_KBO-0418015461,92919.1667190975,<=1M
2020,BE-BCE_KBO-0418015461,2737849.10857526,> 1M & <= 10M
2019,BE-BCE_KBO-0418015461,3458036.52673514,> 1M & <= 10M
2018,BE-BCE_KBO-0418015461,3732690.74673979,> 1M & <= 10M
2017,BE-BCE_KBO-0418015461,2730198.5163389,> 1M & <= 10M
2020,BE-BCE_KBO-0418088113,9934845.01278414,> 1M & <= 10M
2019,BE-BCE_KBO-0418088113,10455646.8602994,> 10M & <= 100M
2018,BE-BCE_KBO-0418088113,10751226.3568301,> 10M & <= 100M
2017,BE-BCE_KBO-0418088113,10636125.2782643,> 10M & <= 100M
2020,BE-BCE_KBO-0418282311,1258961.907871,> 1M & <= 10M
2019,BE-BCE_KBO-0418282311,1285879.94337786,> 1M & <= 10M
2018,BE-BCE_KBO-0418282311,1395842.64213836,> 1M & <= 10M
2017,BE-BCE_KBO-0418282311,1163723.09284175,> 1M & <= 10M
2020,BE-BCE_KBO-0418399305,192080.71471136,<=1M
2019,BE-BCE_KBO-0418399305,202975.812372459,<=1M
2018,BE-BCE_KBO-0418399305,191340.193395873,<=1M
2017,BE-BCE_KBO-0418399305,187761.555580217,<=1M
2020,BE-BCE_KBO-0418766123,25678607.1985001,> 10M & <= 100M
2019,BE-BCE_KBO-0418766123,33826144.4693478,> 10M & <= 100M
2018,BE-BCE_KBO-0418766123,36391091.0380266,> 10M & <= 100M
2017,BE-BCE_KBO-0418766123,29890959.8493633,> 10M & <= 100M
2020,BE-BCE_KBO-0419189557,510173.590613413,<=1M
2019,BE-BCE_KBO-0419189557,355319.717973123,<=1M
2017,BE-BCE_KBO-0419189557,667499.863806131,<=1M
2020,BE-BCE_KBO-0419872616,346652.335702302,<=1M
2019,BE-BCE_KBO-0419872616,500060.649859005,<=1M
2018,BE-BCE_KBO-0419872616,507684.494386264,<=1M
2017,BE-BCE_KBO-0419872616,237805.105834261,<=1M
2020,BE-BCE_KBO-0420656336,7169192.23898572,> 1M & <= 10M
2019,BE-BCE_KBO-0420656336,6850936.14645738,> 1M & <= 10M
2018,BE-BCE_KBO-0420656336,7905071.69439237,> 1M & <= 10M
2017,BE-BCE_KBO-0420656336,7823799.01432286,> 1M & <= 10M
2020,BE-BCE_KBO-0420790948,255307.930094232,<=1M
2019,BE-BCE_KBO-0420790948,253584.635967658,<=1M
2018,BE-BCE_KBO-0420790948,254387.178591721,<=1M
2017,BE-BCE_KBO-0420790948,223147.441262297,<=1M
2020,BE-BCE_KBO-0421207751,2618635.58850239,> 1M & <= 10M
2019,BE-BCE_KBO-0421207751,2700544.2873577,> 1M & <= 10M
2018,BE-BCE_KBO-0421207751,2622958.7199147,> 1M & <= 10M
2017,BE-BCE_KBO-0421207751,2547320.60994097,> 1M & <= 10M
2021,BE-BCE_KBO-0421210424,722386.988782752,<=1M
2020,BE-BCE_KBO-0421210424,8920129.90803613,> 1M & <= 10M
2019,BE-BCE_KBO-0421210424,8299796.64932775,> 1M & <= 10M
2018,BE-BCE_KBO-0421210424,8517673.96531138,> 1M & <= 10M
2017,BE-BCE_KBO-0421210424,7979798.80103078,> 1M & <= 10M
2020,BE-BCE_KBO-0422717486,2030828.5417177,> 1M & <= 10M
2019,BE-BCE_KBO-0422717486,1884902.57076928,> 1M & <= 10M
2018,BE-BCE_KBO-0422717486,1883987.47796946,> 1M & <= 10M
2017,BE-BCE_KBO-0422717486,1129631.19246139,> 1M & <= 10M
2020,BE-BCE_KBO-0423588904,1017002.43209288,> 1M & <= 10M
2019,BE-BCE_KBO-0423588904,973835.091685159,<=1M
2018,BE-BCE_KBO-0423588904,1505215.3179918,> 1M & <= 10M
2017,BE-BCE_KBO-0423588904,1224576.24118302,> 1M & <= 10M
2020,BE-BCE_KBO-0423616717,9190249.78900102,> 1M & <= 10M
2019,BE-BCE_KBO-0423616717,9404632.44001579,> 1M & <= 10M
2018,BE-BCE_KBO-0423616717,8791297.05878621,> 1M & <= 10M
2017,BE-BCE_KBO-0423616717,8060682.60291478,> 1M & <= 10M
2020,BE-BCE_KBO-0424198222,4211534.31967694,> 1M & <= 10M
2019,BE-BCE_KBO-0424198222,4042195.97283871,> 1M & <= 10M
2018,BE-BCE_KBO-0424198222,4347643.56070529,> 1M & <= 10M
2017,BE-BCE_KBO-0424198222,3361975.93318555,> 1M & <= 10M
2020,BE-BCE_KBO-0425410524,7412214.20792895,> 1M & <= 10M
2019,BE-BCE_KBO-0425410524,7120602.08824161,> 1M & <= 10M
2018,BE-BCE_KBO-0425410524,7358109.57364308,> 1M & <= 10M
2017,BE-BCE_KBO-0425410524,6298819.77168788,> 1M & <= 10M
2020,BE-BCE_KBO-0425420917,2740732.29411255,> 1M & <= 10M
2019,BE-BCE_KBO-0425420917,3188457.24201688,> 1M & <= 10M
2018,BE-BCE_KBO-0425420917,3321302.25082618,> 1M & <= 10M
2017,BE-BCE_KBO-0425420917,3354277.23061586,> 1M & <= 10M
2021,BE-BCE_KBO-0427736148,166843.85877723,<=1M
2020,BE-BCE_KBO-0427736148,10451832.4814362,> 10M & <= 100M
2019,BE-BCE_KBO-0427736148,11196538.467165,> 10M & <= 100M
2018,BE-BCE_KBO-0427736148,10154065.2588108,> 10M & <= 100M
2017,BE-BCE_KBO-0427736148,9145310.85405092,> 1M & <= 10M
2021,BE-BCE_KBO-0430826290,314517.386483259,<=1M
2020,BE-BCE_KBO-0430826290,632959.011880881,<=1M
2019,BE-BCE_KBO-0430826290,826705.722694905,<=1M
2018,BE-BCE_KBO-0430826290,880426.978906705,<=1M
2017,BE-BCE_KBO-0430826290,833192.870009226,<=1M
2020,BE-BCE_KBO-0431955945,569075.526250925,<=1M
2019,BE-BCE_KBO-0431955945,543445.72655339,<=1M
2018,BE-BCE_KBO-0431955945,595083.83220551,<=1M
2017,BE-BCE_KBO-0431955945,423431.075691176,<=1M
2020,BE-BCE_KBO-0432235661,2864285.63567417,> 1M & <= 10M
2019,BE-BCE_KBO-0432235661,3188577.71783965,> 1M & <= 10M
2018,BE-BCE_KBO-0432235661,5520111.98266331,> 1M & <= 10M
2017,BE-BCE_KBO-0432235661,3926454.12287561,> 1M & <= 10M
2020,BE-BCE_KBO-0432503697,2428299.05106512,> 1M & <= 10M
2019,BE-BCE_KBO-0432503697,2351851.32175351,> 1M & <= 10M
2018,BE-BCE_KBO-0432503697,2115820.22520008,> 1M & <= 10M
2017,BE-BCE_KBO-0432503697,1683338.33933764,> 1M & <= 10M
2020,BE-BCE_KBO-0432552989,4958742.81554988,> 1M & <= 10M
2019,BE-BCE_KBO-0432552989,4746575.5580227,> 1M & <= 10M
2018,BE-BCE_KBO-0432552989,4566610.57021856,> 1M & <= 10M
2017,BE-BCE_KBO-0432552989,4148962.68037896,> 1M & <= 10M
2020,BE-BCE_KBO-0432622077,230683.789713661,<=1M
2019,BE-BCE_KBO-0432622077,245466.410376431,<=1M
2018,BE-BCE_KBO-0432622077,239504.458712569,<=1M
2017,BE-BCE_KBO-0432622077,186417.733558531,<=1M
2020,BE-BCE_KBO-0432624255,5296423.04600785,> 1M & <= 10M
2019,BE-BCE_KBO-0432624255,4684246.41383143,> 1M & <= 10M
2018,BE-BCE_KBO-0432624255,5403239.64040876,> 1M & <= 10M
2017,BE-BCE_KBO-0432624255,4373433.72496651,> 1M & <= 10M
2020,BE-BCE_KBO-0433439550,507707.181014827,<=1M
2019,BE-BCE_KBO-0433439550,513631.341175771,<=1M
2018,BE-BCE_KBO-0433439550,538348.168822204,<=1M
2017,BE-BCE_KBO-0433439550,518484.385727176,<=1M
2020,BE-BCE_KBO-0434417468,25203.0294069115,<=1M
2020,BE-BCE_KBO-0435563751,4406131.9184238,> 1M & <= 10M
2019,BE-BCE_KBO-0435563751,6564964.0114004,> 1M & <= 10M
2018,BE-BCE_KBO-0435563751,6149353.91081154,> 1M & <= 10M
2017,BE-BCE_KBO-0435563751,6256921.24552875,> 1M & <= 10M
2002,BE-BCE_KBO-0435563751,932301.141748298,<=1M
2019,BE-BCE_KBO-0441988715,795070.061250311,<=1M
2018,BE-BCE_KBO-0441988715,860152.454724943,<=1M
2017,BE-BCE_KBO-0441988715,555272.450404266,<=1M
2020,BE-BCE_KBO-0442168263,2486389.09928777,> 1M & <= 10M
2019,BE-BCE_KBO-0442168263,3068471.37814817,> 1M & <= 10M
2018,BE-BCE_KBO-0442168263,3418632.59730937,> 1M & <= 10M
2017,BE-BCE_KBO-0442168263,2327493.70074715,> 1M & <= 10M
2019,BE-BCE_KBO-0443262185,508020.192604324,<=1M
2018,BE-BCE_KBO-0443262185,529227.253455536,<=1M
2017,BE-BCE_KBO-0443262185,414054.334019083,<=1M
2020,BE-BCE_KBO-0445412518,1453217.11465969,> 1M & <= 10M
2019,BE-BCE_KBO-0445412518,1674902.29140815,> 1M & <= 10M
2018,BE-BCE_KBO-0445412518,1756907.61903003,> 1M & <= 10M
2017,BE-BCE_KBO-0445412518,1412159.72121424,> 1M & <= 10M
2020,BE-BCE_KBO-0445741823,317760.34178717,<=1M
2019,BE-BCE_KBO-0445741823,317403.540613997,<=1M
2018,BE-BCE_KBO-0445741823,314480.064169661,<=1M
2017,BE-BCE_KBO-0445741823,265349.495811843,<=1M
2020,BE-BCE_KBO-0446340550,492464.80137742,<=1M
2019,BE-BCE_KBO-0446340550,466553.314451685,<=1M
2018,BE-BCE_KBO-0446340550,424260.218320915,<=1M
2017,BE-BCE_KBO-0446340550,477015.275828689,<=1M
2020,BE-BCE_KBO-0447404580,2637246.13677428,> 1M & <= 10M
2019,BE-BCE_KBO-0447404580,2412314.66912449,> 1M & <= 10M
2018,BE-BCE_KBO-0447404580,3005443.02843284,> 1M & <= 10M
2017,BE-BCE_KBO-0447404580,1211602.38884511,> 1M & <= 10M
2020,BE-BCE_KBO-0448723978,1726715.78565784,> 1M & <= 10M
2019,BE-BCE_KBO-0448723978,1888160.18686517,> 1M & <= 10M
2018,BE-BCE_KBO-0448723978,1705128.33775307,> 1M & <= 10M
2017,BE-BCE_KBO-0448723978,1519809.71415851,> 1M & <= 10M
2020,BE-BCE_KBO-0448755949,533950.116019908,<=1M
2019,BE-BCE_KBO-0448755949,644224.938917686,<=1M
2018,BE-BCE_KBO-0448755949,763443.878573697,<=1M
2017,BE-BCE_KBO-0448755949,583799.633573199,<=1M
2020,BE-BCE_KBO-0449400604,1188915.77726254,> 1M & <= 10M
2019,BE-BCE_KBO-0449400604,1107306.26150634,> 1M & <= 10M
2018,BE-BCE_KBO-0449400604,1091888.08944235,> 1M & <= 10M
2017,BE-BCE_KBO-0449400604,739355.172468351,<=1M
2020,BE-BCE_KBO-0451461655,3198539.66500101,> 1M & <= 10M
2019,BE-BCE_KBO-0451461655,2780279.06465681,> 1M & <= 10M
2018,BE-BCE_KBO-0451461655,1405616.12479176,> 1M & <= 10M
2017,BE-BCE_KBO-0451461655,602890.072650962,<=1M
2019,BE-BCE_KBO-0451516390,1223687.58547895,> 1M & <= 10M
2018,BE-BCE_KBO-0451516390,894056.148226346,<=1M
2017,BE-BCE_KBO-0451516390,700245.473996185,<=1M
2020,BE-BCE_KBO-0451857573,1440217.91290483,> 1M & <= 10M
2019,BE-BCE_KBO-0451857573,1160431.83421859,> 1M & <= 10M
2018,BE-BCE_KBO-0451857573,1307648.72163838,> 1M & <= 10M
2017,BE-BCE_KBO-0451857573,1203309.58739609,> 1M & <= 10M
2012,BE-BCE_KBO-0451857573,37777.1522862409,<=1M
2021,BE-BCE_KBO-0453072647,131557.93449567,<=1M
2020,BE-BCE_KBO-0453072647,3997025.51855772,> 1M & <= 10M
2019,BE-BCE_KBO-0453072647,4384607.6053257,> 1M & <= 10M
2018,BE-BCE_KBO-0453072647,4802554.3390824,> 1M & <= 10M
2017,BE-BCE_KBO-0453072647,3425842.08429227,> 1M & <= 10M
2020,BE-BCE_KBO-0453475391,1905269.59923609,> 1M & <= 10M
2019,BE-BCE_KBO-0453475391,3357447.42033833,> 1M & <= 10M
2018,BE-BCE_KBO-0453475391,1880121.92641276,> 1M & <= 10M
2017,BE-BCE_KBO-0453475391,1372564.56143043,> 1M & <= 10M
2016,BE-BCE_KBO-0453475391,1107808.62485995,> 1M & <= 10M
2015,BE-BCE_KBO-0453475391,386803.148869007,<=1M
2020,BE-BCE_KBO-0454555163,2513649.20626107,> 1M & <= 10M
2019,BE-BCE_KBO-0454555163,2812696.41840488,> 1M & <= 10M
2018,BE-BCE_KBO-0454555163,1990677.85592242,> 1M & <= 10M
2017,BE-BCE_KBO-0454555163,1336662.47308531,> 1M & <= 10M
2019,BE-BCE_KBO-0460162753,3441256.08724834,> 1M & <= 10M
2018,BE-BCE_KBO-0460162753,4132616.09434227,> 1M & <= 10M
2017,BE-BCE_KBO-0460162753,2768015.05223224,> 1M & <= 10M
2020,BE-BCE_KBO-0460240749,1718992.20532695,> 1M & <= 10M
2019,BE-BCE_KBO-0460240749,1952503.14230978,> 1M & <= 10M
2018,BE-BCE_KBO-0460240749,1748603.34470722,> 1M & <= 10M
2017,BE-BCE_KBO-0460240749,1705926.33114437,> 1M & <= 10M
2020,BE-BCE_KBO-0461076236,328377.865810342,<=1M
2019,BE-BCE_KBO-0461076236,271769.141575459,<=1M
2018,BE-BCE_KBO-0461076236,278027.211461891,<=1M
2017,BE-BCE_KBO-0461076236,205480.109897093,<=1M
