year,cc,ex.rate
1995,AWG,0.558798646362098
1996,AWG,0.558704453441296
1997,AWG,0.558716265499635
1998,AWG,0.558537403555854
1999,AWG,0.558690012970169
2000,AWG,0.558604235013421
2001,AWG,0.558468335787923
2002,AWG,0.558656036446469
2003,AWG,0.5586225744739
2004,AWG,0.558721506442022
2005,AWG,0.558712121212121
2006,AWG,0.558697127346754
2007,AWG,0.558731483413311
2008,AWG,0.558655924543132
2009,AWG,0.558739881863925
2010,AWG,0.558743169398907
2011,AWG,0.558661584074545
2012,AWG,0.558641315958129
2013,AWG,0.558672946958837
2014,AWG,0.558646917534027
2015,AWG,0.558634992458522
2016,AWG,0.558696873244711
2017,AWG,0.558626919602529
2018,AWG,0.558618283321703
2019,AWG,0.558649789029536
2020,AWG,0.558737972700828
2021,AWG,0.558697347893916
2022,AWG,0.55859235441229
2023,AWG,0.558613828552479
2024,AWG,0.558659217877095
2025,AWG,0.558709477276253
2026,AWG,0.558725845410628
2002,AFN,0.0244299492045022
2003,AFN,0.0206942317044902
2004,AFN,0.0209008569919987
2005,AFN,0.0202245790782026
2006,AFN,0.0200250421465689
2007,AFN,0.0200142691727389
2008,AFN,0.0198972385021323
2009,AFN,0.0198706579252899
2010,AFN,0.0215311643407389
2011,AFN,0.0213938403916663
2012,AFN,0.0196335103861299
2013,AFN,0.0180600449486493
2014,AFN,0.0174262915877739
2015,AFN,0.0163521038342696
2016,AFN,0.0147352238903608
2017,AFN,0.0146896830706518
2018,AFN,0.0138594099526245
2019,AFN,0.0128443113772455
2020,AFN,0.0130137207633992
1994,AOA,4965
1995,AOA,364.529411764706
1996,AOA,7.82191780821918
1997,AOA,4.38077461502567
1998,AOA,2.54574536148433
1999,AOA,0.358346824111989
2000,AOA,0.0995915018105924
2001,AOA,0.0453361428192195
2002,AOA,0.0229731659114648
2003,AOA,0.0134039159029001
2004,AOA,0.0119700950919154
2005,AOA,0.0114733036448555
2006,AOA,0.0124427520808787
2007,AOA,0.0130366695030701
2008,AOA,0.013327462801147
2009,AOA,0.0126058300193282
2010,AOA,0.0108806554439633
2011,AOA,0.0106457136218281
2012,AOA,0.0104747258679995
2013,AOA,0.0103607427055703
2014,AOA,0.0101726769180933
2015,AOA,0.0083291458457136
2016,AOA,0.00611037023922676
2017,AOA,0.00602716179270796
2018,AOA,0.00395482077797821
2019,AOA,0.00274104908792237
2020,AOA,0.00172933030220622
2021,AOA,0.00152432529659644
2022,AOA,0.00141314688711001
2023,AOA,0.0013503989265466
2024,AOA,0.00131324636817863
2025,AOA,0.00128927597808537
2026,AOA,0.00124925287328031
1980,ALL,0.10525177132349
1981,ALL,0.116542925860086
1982,ALL,0.116560056858564
1983,ALL,0.116532663316583
1984,ALL,0.116569101552558
1985,ALL,0.116571143782706
1986,ALL,0.125024163928088
1987,ALL,0.124981734937412
1988,ALL,0.125012352999308
1989,ALL,0.125022494151521
1990,ALL,0.111016694991503
1991,ALL,0.0682924330139864
1992,ALL,0.0133089152365766
1993,ALL,0.00979603331053627
1994,ALL,0.0105604036301667
1995,ALL,0.0107768936221132
1996,ALL,0.00957055141330127
1997,ALL,0.00681809950380896
1998,ALL,0.00665197688438033
1999,ALL,0.00723409243587605
2000,ALL,0.00694933549348662
2001,ALL,0.00697134966962405
2002,ALL,0.00712210111811091
2003,ALL,0.00827901047307367
2004,ALL,0.00974031255761493
2005,ALL,0.0100128953955852
2006,ALL,0.0101932430806602
2007,ALL,0.0110581982086485
2008,ALL,0.0119193470777659
2009,ALL,0.0105285242232984
2010,ALL,0.0096293308595168
2011,ALL,0.00991757777060171
2012,ALL,0.00924662930200104
2013,ALL,0.00946927891559572
2014,ALL,0.00949329893212929
2015,ALL,0.00794040339954403
2016,ALL,0.00805579702270999
2017,ALL,0.00841776029407023
2018,ALL,0.00926014232264691
2019,ALL,0.00910108679470001
2020,ALL,0.00922150773019565
2021,ALL,0.0097550476700153
2022,ALL,0.00987142810167374
2023,ALL,0.00979977016016317
2024,ALL,0.00981989182721776
2025,ALL,0.00983487637816146
2026,ALL,0.00983780065091419
1980,AED,0.269735437022799
1981,AED,0.272405903076234
1982,AED,0.272403580146461
1983,AED,0.27240629706459
1984,AED,0.272403488530417
1985,AED,0.272407347916241
1986,AED,0.272410679736876
1987,AED,0.272404621464471
1988,AED,0.272406078967137
1989,AED,0.272404150784172
1990,AED,0.272404417068975
1991,AED,0.27240666622925
1992,AED,0.272407567804481
1993,AED,0.272405197506257
1994,AED,0.272402691310141
1995,AED,0.272405837053906
1996,AED,0.272406343651552
1997,AED,0.272296021963566
1998,AED,0.272294547356783
1999,AED,0.27229471511989
2000,AED,0.272292680625555
2001,AED,0.272295024933318
2002,AED,0.272293577981651
2003,AED,0.272293293508109
2004,AED,0.272293395470496
2005,AED,0.272293228888708
2006,AED,0.272294639234152
2007,AED,0.272293936741776
2008,AED,0.272294532962765
2009,AED,0.272293597292819
2010,AED,0.272294783131624
2011,AED,0.272294264726437
2012,AED,0.272295155850198
2013,AED,0.272294387402542
2014,AED,0.272294193931862
2015,AED,0.272294240638662
2016,AED,0.272293612964728
2017,AED,0.272292993630573
2018,AED,0.272293127132253
2019,AED,0.272295101225673
2020,AED,0.272293334345006
2021,AED,0.272293219855143
2022,AED,0.272294584396495
2023,AED,0.272293960094358
2024,AED,0.272294784392794
2025,AED,0.272293947472914
2026,AED,0.272294360549349
1984,ARS,130544
1985,ARS,16433.1666666667
1986,ARS,10778.6363636364
1987,ARS,4675.42307692308
1988,ARS,1148.27419354839
1989,ARS,25.1797133406836
1990,ARS,2.05066182195692
1991,ARS,1.04807273949846
1992,ARS,1.0094398074153
1993,ARS,1
1994,ARS,1
1995,ARS,1
1996,ARS,1
1997,ARS,1
1998,ARS,1
1999,ARS,1
2000,ARS,1
2001,ARS,1
2002,ARS,0.321781130002346
2003,ARS,0.338885822237873
2004,ARS,0.339942075590324
2005,ARS,0.342077255046023
2006,ARS,0.325311773645629
2007,ARS,0.320989319717274
2008,ARS,0.316222328534771
2009,ARS,0.268150457157052
2010,ARS,0.255596008954577
2011,ARS,0.242147387357619
2012,ARS,0.219744418877066
2013,ARS,0.182620784813831
2014,ARS,0.123084280937916
2015,ARS,0.10789535998764
2016,ARS,0.0676668902889589
2017,ARS,0.0603984154188043
2018,ARS,0.0355671588850585
2019,ARS,0.0207233103357175
2020,ARS,0.0141573367334463
2021,ARS,0.0104501821432778
2022,ARS,0.00775645782253198
2023,ARS,0.00558310939653417
2024,ARS,0.00442448181434301
2025,ARS,0.00372824251043242
2026,ARS,0.00328104604517356
1992,AMD,0.366101694915254
1993,AMD,0.214267385168078
1994,AMD,0.00346403656483041
1995,AMD,0.00246430869152293
1996,AMD,0.00241527262938042
1997,AMD,0.00203770563545583
1998,AMD,0.00198035347006704
1999,AMD,0.00186846038863976
2000,AMD,0.00185389881125526
2001,AMD,0.00180120420451066
2002,AMD,0.00174389160862258
2003,AMD,0.00172776738231239
2004,AMD,0.001874787075133
2005,AMD,0.00218469111142816
2006,AMD,0.00240344252481938
2007,AMD,0.00292320784433267
2008,AMD,0.00326828707790697
2009,AMD,0.00275269364824217
2010,AMD,0.00267614588752095
2011,AMD,0.00268452467608094
2012,AMD,0.00248894868345185
2013,AMD,0.00244114987136824
2014,AMD,0.00240440870391809
2015,AMD,0.00209234222177281
2016,AMD,0.00208119132711962
2017,AMD,0.00207152856775733
2018,AMD,0.00207045324611437
2019,AMD,0.00208135930995275
